time,latitude,longitude,BurntArea,BAs_GWIS,FCCI_BA,ws10,Lai,swvl1,mslp,rH_cf,FCD_emissions,FRP_emissions,ssr,NDVI
2001-03-14 12:00:00,13.625,103.375,0.0,0.0,0.0,1.6387142,0.5,0.3819354,100927.88,71.462456,,,14.161092,0.30105188
2001-01-01 12:00:00,13.625,103.625,0.0,0.0,0.0,1.7505668,0.6,0.17092516,101067.58,54.219612,,,13.872154,0.4364234
2001-03-14 12:00:00,13.625,103.625,0.0,0.0,0.0,1.5911891,0.6,0.36228052,100925.586,71.73624,,,13.799175,0.3212359
2001-01-01 12:00:00,13.625,103.875,0.0,0.0,316.6215,1.6360459,2.6000001,0.21145321,101069.305,53.18951,,,13.786258,0.6174037
2001-03-14 12:00:00,13.625,103.875,0.0,0.0,0.0,1.5881852,1.7,0.42393637,100931.984,73.47825,,,13.922874,0.59968495
2001-01-01 12:00:00,13.625,104.125,64.31,177.26079,1980.2262,1.5564433,3.5,0.26025972,101079.74,54.64774,,,13.672245,0.7159412
2001-03-14 12:00:00,13.625,104.125,0.0,0.0,0.0,1.4794354,2.4,0.44170153,100948.445,74.70149,,,13.93935,0.64052486
2001-01-01 12:00:00,13.625,104.375,364.40997,8177.662,11291.047,1.5279982,1.9,0.26439217,101074.266,53.92066,,,13.766385,0.6180926
2001-03-14 12:00:00,13.625,104.375,0.0,0.0,0.0,1.3543409,1.0,0.43364242,100945.5,74.31964,,,14.091368,0.5388192
2001-01-01 12:00:00,13.625,104.625,150.06,1109.8936,7223.264,1.5686356,2.3,0.24518836,101073.4,53.619164,,,14.043836,0.66854
2001-03-14 12:00:00,13.625,104.625,0.0,0.0,0.0,1.3219508,1.0,0.40585667,100944.64,74.3785,,,14.375556,0.5420478
2001-01-01 12:00:00,13.625,104.875,42.87,1919.4379,617.1436,1.6269046,2.6000001,0.24812497,101080.7,52.82392,,,14.1617,0.66780823
2001-03-14 12:00:00,13.625,104.875,0.0,0.0,0.0,1.3149291,1.3000001,0.38484892,100951.0,72.95417,,,14.614223,0.5570117
2001-01-01 12:00:00,13.375,101.625,85.75,324.10275,0.0,1.7943425,1.4,0.26501667,101083.17,59.56751,,,13.594972,0.6683227
